date,precip_vietnam
2018-01-31,42.400207588937484
2018-02-28,16.408189301290204
2018-03-31,48.87994896513988
2018-04-30,80.9272568953006
2018-05-31,155.9024328092183
2018-06-30,264.32949321980334
2018-07-31,411.6752187205943
2018-08-31,339.65880550454733
2018-09-30,225.73068801258924
2018-10-31,163.27768767552863
2018-11-30,111.43300125374151
2018-12-31,135.01024429721042
2019-01-31,60.83206520612923
2019-02-28,19.26630446197163
2019-03-31,35.33045057435612
2019-04-30,67.8481188208137
2019-05-31,190.68444744465683
2019-06-30,227.55390746756092
2019-07-31,245.76497429240214
2019-08-31,378.2954656743663
2019-09-30,310.9807686306818
2019-10-31,206.9433074665513
2019-11-30,122.47843663978546
2019-12-31,15.262752123288823
2020-01-31,28.381589663358987
2020-02-29,20.992840519793276
2020-03-31,59.31499709958197
2020-04-30,110.07618955331459
2020-05-31,118.18724297013371
2020-06-30,273.33347961726236
2020-07-31,187.23953026395907
2020-08-31,335.9196263759059
2020-09-30,297.2178635469942
2020-10-31,585.8496647197976
2020-11-30,149.65342043240202
2020-12-31,53.09213232990339
2021-01-31,16.72770482386245
2021-02-28,37.3570911993926
2021-03-31,25.914205446331447
2021-04-30,131.0086116517389
2021-05-31,173.78102726748426
2021-06-30,202.32963617564818
2021-07-31,277.3529792868513
2021-08-31,230.16648489544235
2021-09-30,383.2407997658517
2021-10-31,424.4774261473506
2021-11-30,184.25629900321596
2021-12-31,55.34053697361097
2022-01-31,41.05514163210819
2022-02-28,93.24254559573944
2022-03-31,117.40714147065891
2022-04-30,119.29636760135165
2022-05-31,272.64774245555094
2022-06-30,180.32408024917422
2022-07-31,270.3109574561871
2022-08-31,307.99957030870536
2022-09-30,325.4469467619737
2022-10-31,238.42313812482905
2022-11-30,147.5953676303855
2022-12-31,95.55416329436463
2023-01-31,46.19105529279077
2023-02-28,32.627979098553155
2023-03-31,18.500534173011047
2023-04-30,39.151463349925514
2023-05-31,135.22504806430965
2023-06-30,215.38532805492878
2023-07-31,262.41025559574746
2023-08-31,224.98154793644275
2023-09-30,339.9045088870392
2023-10-31,293.338868300627
2023-11-30,143.6902455428894
2023-12-31,69.25828457804873
2024-01-31,40.650349263455844
2024-02-29,8.458708004471974
2024-03-31,24.510944408716423
2024-04-30,18.182699581860163
2024-05-31,218.5540995799924
2024-06-30,265.74618636712427
2024-07-31,351.2363971923361
2024-08-31,237.3842555479399
2024-09-30,408.8098173382092
2024-10-31,224.49895223746458
2024-11-30,106.0196049586715
2024-12-31,89.89420452079737
2025-01-31,18.34967979141242
2025-02-28,36.16828830733619
2025-03-31,27.270544492310993
2025-04-30,56.3926667277661
2025-05-31,200.05014240544344
2025-06-30,315.0813461266501
2025-07-31,253.80239684982897
2025-08-31,308.81038254683017
2025-09-30,354.82634900461704
2025-10-31,339.877153827988
2025-11-30,238.65051200745023
2025-12-31,62.02230026578971
