date,humidity_kazakhstan
2018-01-31,88.75079934659557
2018-02-28,90.16636197847053
2018-03-31,81.60633017388545
2018-04-30,62.24843119497953
2018-05-31,48.701747810524886
2018-06-30,43.26402626380307
2018-07-31,41.157079574932176
2018-08-31,44.19159721813102
2018-09-30,48.2071245500287
2018-10-31,59.96460597593283
2018-11-30,74.85601408590017
2018-12-31,86.70498332305031
2019-01-31,91.66241948406982
2019-02-28,89.4172361104541
2019-03-31,76.54891138980877
2019-04-30,62.226972107617605
2019-05-31,46.99938327753813
2019-06-30,44.557264021484876
2019-07-31,38.798678163113586
2019-08-31,40.38998771152988
2019-09-30,51.66364264150824
2019-10-31,57.32953392869634
2019-11-30,73.57906578697276
2019-12-31,87.77115330628317
2020-01-31,91.72757365523347
2020-02-29,85.7653500369823
2020-03-31,67.32893610024293
2020-04-30,58.62603432713256
2020-05-31,50.11458907663617
2020-06-30,38.122729741894574
2020-07-31,40.883438256638364
2020-08-31,43.488122235986296
2020-09-30,47.250270198062665
2020-10-31,54.10242774505808
2020-11-30,71.84177991213048
2020-12-31,86.60583319459252
2021-01-31,87.02541926918283
2021-02-28,83.6036583334776
2021-03-31,79.92081301777775
2021-04-30,58.43714724354455
2021-05-31,44.146496883251466
2021-06-30,38.545027907085625
2021-07-31,38.44777837616456
2021-08-31,36.8849207872074
2021-09-30,42.04465417553405
2021-10-31,59.55590971141266
2021-11-30,69.71922793222149
2021-12-31,85.16598934164983
2022-01-31,90.20867702163663
2022-02-28,86.91836740824766
2022-03-31,80.72823460488478
2022-04-30,57.158902703795704
2022-05-31,52.56795634512227
2022-06-30,41.33643831611316
2022-07-31,40.5792064827663
2022-08-31,39.86520928397935
2022-09-30,38.89747691768479
2022-10-31,55.57216225229117
2022-11-30,78.96353191307765
2022-12-31,84.85978759640935
2023-01-31,88.70971539226544
2023-02-28,89.53229197940416
2023-03-31,72.17723569373887
2023-04-30,54.71141015199708
2023-05-31,47.215011923840294
2023-06-30,37.63208604897793
2023-07-31,37.479175667612495
2023-08-31,42.761190576355766
2023-09-30,58.69909750540182
2023-10-31,66.66539999316247
2023-11-30,76.81856845459798
2023-12-31,81.17209543054105
2024-01-31,88.95554525747848
2024-02-29,86.50369527462287
2024-03-31,81.06054198116631
2024-04-30,64.07927491877258
2024-05-31,58.03918082621088
2024-06-30,49.999195503442785
2024-07-31,51.1716643542202
2024-08-31,46.2995119471979
2024-09-30,48.90894095214628
2024-10-31,64.81908457612217
2024-11-30,79.39018096992142
2024-12-31,86.20341314900271
2025-01-31,88.87095188350072
2025-02-28,87.88378487833971
2025-03-31,73.69238040238122
2025-04-30,59.55978655367801
2025-05-31,49.04310737388603
2025-06-30,46.571181299517136
2025-07-31,39.36444020530676
2025-08-31,44.195939538588796
2025-09-30,52.71007636622227
2025-10-31,57.907112049056806
2025-11-30,74.0994457415063
2025-12-31,84.66701419763208
