date,humidity_serbia
2018-01-31,89.85198238402324
2018-02-28,89.71240448332725
2018-03-31,87.49678815009435
2018-04-30,75.66783293885752
2018-05-31,74.3877815995274
2018-06-30,74.40773269033919
2018-07-31,75.44466315528608
2018-08-31,63.022564609684736
2018-09-30,59.402605148571276
2018-10-31,66.32207874400417
2018-11-30,79.38268790247953
2018-12-31,90.55574114297282
2019-01-31,93.64725027761222
2019-02-28,84.54114575066373
2019-03-31,74.4491580797852
2019-04-30,73.56077295255055
2019-05-31,77.28793441746745
2019-06-30,73.24672917191214
2019-07-31,59.6916910121046
2019-08-31,50.62836365700543
2019-09-30,57.07893998456021
2019-10-31,60.590377436110835
2019-11-30,83.10839324671811
2019-12-31,88.14031360212962
2020-01-31,86.29833617901173
2020-02-29,81.10002527913132
2020-03-31,77.152666471285
2020-04-30,64.46460130989287
2020-05-31,69.33189933571558
2020-06-30,74.32693076683053
2020-07-31,64.84919207470192
2020-08-31,67.05127718094765
2020-09-30,61.30025114692749
2020-10-31,76.55895300187187
2020-11-30,84.30437879446657
2020-12-31,91.24510325387892
2021-01-31,93.01999864972916
2021-02-28,85.19049819059627
2021-03-31,81.10666870676444
2021-04-30,77.20585087923223
2021-05-31,72.93338095033208
2021-06-30,62.85834211764344
2021-07-31,54.743801415530115
2021-08-31,50.32212914013896
2021-09-30,57.538086645123386
2021-10-31,75.765007294894
2021-11-30,86.04477714508641
2021-12-31,94.19055391408745
2022-01-31,91.81939007552508
2022-02-28,86.40176075469513
2022-03-31,74.62513613584598
2022-04-30,73.34131042041511
2022-05-31,63.12457340386129
2022-06-30,61.19115748531421
2022-07-31,48.16366981851022
2022-08-31,58.584314227526576
2022-09-30,70.17918715737773
2022-10-31,70.78090485749576
2022-11-30,85.14174093662035
2022-12-31,90.7158276757657
2023-01-31,91.56358143684726
2023-02-28,87.76399486694157
2023-03-31,79.74138282445091
2023-04-30,80.61823468086304
2023-05-31,80.23786630596454
2023-06-30,79.36027071571209
2023-07-31,62.6694606832226
2023-08-31,58.3591538142942
2023-09-30,59.29354780389186
2023-10-31,61.91947814631102
2023-11-30,83.30872671352203
2023-12-31,88.27704130965228
2024-01-31,88.79888009768489
2024-02-29,83.44907435113116
2024-03-31,77.64079080310908
2024-04-30,66.58350794838901
2024-05-31,72.35782915094167
2024-06-30,58.63047154017006
2024-07-31,47.96728953985042
2024-08-31,42.60567130425044
2024-09-30,60.32800007627633
2024-10-31,70.01615998907607
2024-11-30,80.36102520194898
2024-12-31,92.5745010478914
2025-01-31,90.12454197276277
2025-02-28,82.56637025919815
2025-03-31,75.47001319002266
2025-04-30,74.87710453682402
2025-05-31,70.70626955861842
2025-06-30,49.11263041120608
2025-07-31,46.09701327744752
2025-08-31,46.80309831669424
2025-09-30,57.00512649639904
2025-10-31,78.10350177388858
2025-11-30,87.12178246674922
2025-12-31,89.57165603642426
