date,humidity_spain
2018-01-31,82.54570566455256
2018-02-28,77.54826033906544
2018-03-31,79.3417213443479
2018-04-30,73.78832298893015
2018-05-31,69.95454107390424
2018-06-30,64.93012547245637
2018-07-31,53.86154629580165
2018-08-31,51.29648844783305
2018-09-30,60.58914276641996
2018-10-31,69.33165235500472
2018-11-30,82.7971745946998
2018-12-31,79.64098311684498
2019-01-31,77.9779083906012
2019-02-28,70.95115756321631
2019-03-31,65.53079175479141
2019-04-30,70.46098268880588
2019-05-31,58.49067906507896
2019-06-30,48.95014653627028
2019-07-31,46.85679170386126
2019-08-31,48.452076670551584
2019-09-30,59.629446562035355
2019-10-31,67.16962672424833
2019-11-30,83.47935455623634
2019-12-31,81.54141077774396
2020-01-31,82.50860195166295
2020-02-29,76.96646113417455
2020-03-31,76.20997099201037
2020-04-30,78.74080089446905
2020-05-31,67.74801085119702
2020-06-30,60.704588386085035
2020-07-31,49.58047669414801
2020-08-31,49.39716930422774
2020-09-30,57.708089172047146
2020-10-31,69.10508806134104
2020-11-30,80.51746802126428
2020-12-31,85.0909192324309
2021-01-31,85.61553087172592
2021-02-28,82.22868803469795
2021-03-31,72.61603854859311
2021-04-30,72.51257740594852
2021-05-31,64.99819082521303
2021-06-30,60.03876777852503
2021-07-31,49.243141137436126
2021-08-31,49.35556248194471
2021-09-30,64.48984333994864
2021-10-31,67.21634844114057
2021-11-30,79.40804864842863
2021-12-31,82.67953177891326
2022-01-31,73.73960762351284
2022-02-28,72.24757788022656
2022-03-31,78.49679963231162
2022-04-30,70.58808235593779
2022-05-31,58.55968076798397
2022-06-30,48.83890171736411
2022-07-31,41.50113060847993
2022-08-31,45.42545155674863
2022-09-30,57.031131285399354
2022-10-31,64.91388977575296
2022-11-30,77.37445364204028
2022-12-31,85.62013222770835
2023-01-31,79.92411120266263
2023-02-28,73.85957070533642
2023-03-31,68.60703785460733
2023-04-30,57.5472087002946
2023-05-31,60.082407223653966
2023-06-30,61.78450339072301
2023-07-31,45.03508546791339
2023-08-31,42.73213992763139
2023-09-30,63.05104918132369
2023-10-31,65.03305684147094
2023-11-30,78.36507672803798
2023-12-31,77.27731260255702
2024-01-31,80.37861275819532
2024-02-29,76.23544775530524
2024-03-31,75.90252768356078
2024-04-30,65.854570691841
2024-05-31,62.459681127960934
2024-06-30,59.440124775063886
2024-07-31,46.40649085651643
2024-08-31,47.082185429232936
2024-09-30,60.494406074545125
2024-10-31,77.03412204604606
2024-11-30,81.39677342881005
2024-12-31,80.03153605293372
2025-01-31,80.60356705548618
2025-02-28,77.96526346269383
2025-03-31,80.95906172392152
2025-04-30,74.09724978506303
2025-05-31,67.18996809143871
2025-06-30,53.93950988032551
2025-07-31,49.67718868570099
2025-08-31,43.96136439519724
2025-09-30,53.11068239319899
2025-10-31,67.4272740784098
2025-11-30,78.03926692102883
2025-12-31,86.67523346323688
