date,precip_costarica
2018-01-31,263.36714147479495
2018-02-28,59.83067031607736
2018-03-31,70.39226614323424
2018-04-30,126.81985198254307
2018-05-31,268.3264630557054
2018-06-30,303.5093773183871
2018-07-31,435.5531524350045
2018-08-31,240.4375961273225
2018-09-30,269.6276331616303
2018-10-31,353.9940228328934
2018-11-30,137.93391796012384
2018-12-31,47.6482120742696
2019-01-31,15.295704265251793
2019-02-28,28.285865811927295
2019-03-31,93.63639035543632
2019-04-30,118.03311989047386
2019-05-31,365.7631990132656
2019-06-30,237.41246983828077
2019-07-31,204.22728176126986
2019-08-31,235.5938149602127
2019-09-30,273.8404440523708
2019-10-31,368.4233730928434
2019-11-30,238.82334353726174
2019-12-31,143.77295223341875
2020-01-31,105.9551169973443
2020-02-29,47.084092039701616
2020-03-31,19.12171778249295
2020-04-30,181.5173580148869
2020-05-31,224.54199324137937
2020-06-30,358.4392469478958
2020-07-31,222.3772505251986
2020-08-31,256.70535866312787
2020-09-30,271.99052292290656
2020-10-31,385.8946438939037
2020-11-30,466.8083217489594
2020-12-31,247.89027545888644
2021-01-31,68.72975833421643
2021-02-28,34.64659180559431
2021-03-31,106.55130459416324
2021-04-30,231.3702719055385
2021-05-31,263.62766115649663
2021-06-30,266.8902236467878
2021-07-31,273.00460498673755
2021-08-31,369.99935025995006
2021-09-30,274.6833402960568
2021-10-31,232.62395013262426
2021-11-30,127.06843447248515
2021-12-31,95.19721417506406
2022-01-31,24.38615124668439
2022-02-28,29.406983109437263
2022-03-31,153.5961563607477
2022-04-30,223.6630475023478
2022-05-31,257.0536459946982
2022-06-30,374.83425901258346
2022-07-31,228.007658599465
2022-08-31,220.48174646153257
2022-09-30,291.7818439154631
2022-10-31,291.18395268965594
2022-11-30,290.8683764901199
2022-12-31,76.7977988859399
2023-01-31,67.19645794164211
2023-02-28,55.45173162385459
2023-03-31,118.40793917241479
2023-04-30,92.22264522631797
2023-05-31,186.16625774005638
2023-06-30,269.6318230272927
2023-07-31,281.253188785139
2023-08-31,230.7726091883265
2023-09-30,197.5286307486928
2023-10-31,388.0377988859399
2023-11-30,264.04040227602985
2023-12-31,113.17721417506407
2024-01-31,24.498040551723474
2024-02-29,76.66727434243089
2024-03-31,46.92127080106035
2024-04-30,153.34070155214863
2024-05-31,595.728032328937
2024-06-30,632.8375510498896
2024-07-31,446.6342332626058
2024-08-31,220.43937893898962
2024-09-30,350.2145067887467
2024-10-31,334.45474527321244
2024-11-30,666.931665286221
2024-12-31,189.24250525198616
2025-01-31,88.58027290185484
2025-02-28,50.801451987334026
2025-03-31,92.74628386206433
2025-04-30,256.1239838658401
2025-05-31,364.3631263129965
2025-06-30,436.4954528758536
2025-07-31,254.71027545888649
2025-08-31,161.2129885835533
2025-09-30,313.23136601010236
2025-10-31,362.7382873315703
2025-11-30,169.91815608453686
2025-12-31,123.50178536869873
