date,precip_nigeria
2018-01-31,0.1959704305146783
2018-02-28,29.947698035507095
2018-03-31,23.818096763824624
2018-04-30,29.470246603132715
2018-05-31,112.77679265983136
2018-06-30,222.53683641116038
2018-07-31,232.01687883972082
2018-08-31,235.33568285173897
2018-09-30,220.32162759682248
2018-10-31,98.63590619900579
2018-11-30,30.072185036277606
2018-12-31,0.329479451784346
2019-01-31,7.972056130940844
2019-02-28,6.7121768572126035
2019-03-31,21.34270119011487
2019-04-30,20.98173970330284
2019-05-31,111.60488284951309
2019-06-30,150.3692022205789
2019-07-31,192.84411700168312
2019-08-31,275.68040435814487
2019-09-30,231.11518329475484
2019-10-31,221.0970800715896
2019-11-30,46.4126637281568
2019-12-31,6.491769204949594
2020-01-31,0.045856027590985816
2020-02-29,0.26549729604815525
2020-03-31,83.41804741817798
2020-04-30,152.0754011266523
2020-05-31,140.6817598537439
2020-06-30,168.98480926017643
2020-07-31,310.82603872420935
2020-08-31,214.28298954856666
2020-09-30,265.0962894485071
2020-10-31,100.14613003037917
2020-11-30,45.77104202075954
2020-12-31,5.567655362285501
2021-01-31,6.144448657561044
2021-02-28,3.780246555360402
2021-03-31,34.8849457911811
2021-04-30,69.43362156386117
2021-05-31,125.86543030776906
2021-06-30,268.25271310754215
2021-07-31,374.50815514746176
2021-08-31,364.7993366996008
2021-09-30,299.12864808571743
2021-10-31,137.84704198839097
2021-11-30,128.22944010011344
2021-12-31,45.434108532382126
2022-01-31,32.47859920321211
2022-02-28,5.753598153524038
2022-03-31,38.65868017735269
2022-04-30,195.6526471766147
2022-05-31,283.88211443109736
2022-06-30,285.0386924449024
2022-07-31,183.4951719819697
2022-08-31,240.16388917276544
2022-09-30,234.92317344545077
2022-10-31,101.04905472422696
2022-11-30,10.958977826237039
2022-12-31,5.041175889226396
2023-01-31,1.6141266621364172
2023-02-28,14.486688218990071
2023-03-31,71.01284241866695
2023-04-30,71.27552147538319
2023-05-31,126.18282574172062
2023-06-30,176.67057518362722
2023-07-31,154.57211603408143
2023-08-31,150.65761518310532
2023-09-30,168.8233423517961
2023-10-31,78.89936251062879
2023-11-30,32.264130682510064
2023-12-31,0.41740338379462455
2024-01-31,1.7774787839927977
2024-02-29,4.549872990170637
2024-03-31,34.62144067321631
2024-04-30,67.63235244258915
2024-05-31,79.63052649124444
2024-06-30,180.84497746896096
2024-07-31,367.4838663010414
2024-08-31,197.34083169074012
2024-09-30,181.22962927634387
2024-10-31,104.71135965899869
2024-11-30,4.783028980376094
2024-12-31,0.06263144499122715
2025-01-31,0.3668685325751393
2025-02-28,9.667509936127228
2025-03-31,19.478143261500364
2025-04-30,40.453730378945
2025-05-31,66.74558469202607
2025-06-30,141.6586894219156
2025-07-31,203.68039163138073
2025-08-31,172.85069751505625
2025-09-30,174.33445225826577
2025-10-31,89.64387279328591
2025-11-30,23.089605968547176
2025-12-31,7.479744177574624
