year;month;solar_kwh_m2
2018;1;169.4452485
2018;2;140.1538667
2018;3;160.8510544
2018;4;142.5169316
2018;5;144.5158681
2018;6;138.1359485
2018;7;155.9509834
2018;8;163.0164485
2018;9;168.7967473
2018;10;171.8921723
2018;11;155.5047647
2018;12;166.6198712
2019;1;168.9478382
2019;2;142.8082237
2019;3;155.8284257
2019;4;137.5057451
2019;5;132.5950483
2019;6;131.8541525
2019;7;142.8251782
2019;8;162.8957095
2019;9;175.5396269
2019;10;180.8977418
2019;11;170.2333201
2019;12;170.9369402
2020;1;161.7095455
2020;2;144.3987484
2020;3;152.6159158
2020;4;137.1266028
2020;5;132.8480337
2020;6;128.9785874
2020;7;148.677213
2020;8;167.3106912
2020;9;182.0135908
2020;10;188.7755425
2020;11;168.9046913
2020;12;172.2285489
2021;1;164.7982597
2021;2;140.5278235
2021;3;156.2007063
2021;4;145.3658378
2021;5;141.2124063
2021;6;131.3739175
2021;7;149.2130272
2021;8;164.814743
2021;9;175.3113757
2021;10;177.4989788
2021;11;157.7907637
2021;12;152.3885176
2022;1;163.4575548
2022;2;144.6329952
2022;3;149.9569587
2022;4;144.8846986
2022;5;138.2945536
2022;6;130.7780486
2022;7;147.7941959
2022;8;164.6373269
2022;9;175.3863652
2022;10;181.9395342
2022;11;169.0377192
2022;12;161.2998488
2023;1;160.2349082
2023;2;147.738808
2023;3;153.8401013
2023;4;142.9887465
2023;5;138.6696509
2023;6;133.1853306
2023;7;149.8464551
2023;8;164.9640499
2023;9;178.4780969
2023;10;192.6131331
2023;11;184.2590269
2023;12;178.1924585
2024;1;160.8906808
2024;2;152.6086164
2024;3;158.9663601
2024;4;138.8121527
2024;5;141.4238108
2024;6;137.3743333
2024;7;152.3927956
2024;8;172.589155
2024;9;187.0151872
2024;10;187.9504352
2024;11;167.1643091
2024;12;165.7749609
2025;1;160.6437855
2025;2;145.5006743
2025;3;158.8824596
2025;4;141.579074
2025;5;140.8176475
2025;6;129.3538357
2025;7;150.8527906
2025;8;164.2570845
2025;9;175.8619934
2025;10;182.651073
2025;11;174.0635454
2025;12;164.3442055
