date,solar_chile
2018-01-31,219.23753374569685
2018-02-28,176.63477335716541
2018-03-31,163.63443155965223
2018-04-30,114.31196315027496
2018-05-31,89.30117593391529
2018-06-30,69.045645545431
2018-07-31,77.02916964374351
2018-08-31,102.94526491517091
2018-09-30,134.08918377585783
2018-10-31,182.05198846670245
2018-11-30,207.23699256055988
2018-12-31,228.88634694953646
2019-01-31,219.71866666714928
2019-02-28,179.4149314311718
2019-03-31,169.2224562656069
2019-04-30,117.53374930550973
2019-05-31,86.27249600954306
2019-06-30,68.10851795022668
2019-07-31,78.35960424242286
2019-08-31,107.99966127561012
2019-09-30,139.08293787982882
2019-10-31,185.13068326113768
2019-11-30,205.29565772777872
2019-12-31,230.3748347082259
2020-01-31,215.2368349995646
2020-02-29,190.9816338712915
2020-03-31,162.28725263468465
2020-04-30,118.25553151667965
2020-05-31,89.85621645094324
2020-06-30,66.93125802162595
2020-07-31,80.3201966240411
2020-08-31,105.73278248487372
2020-09-30,139.68130380027057
2020-10-31,188.32994329577159
2020-11-30,212.70122269269257
2020-12-31,229.64669536162168
2021-01-31,225.92405536312287
2021-02-28,190.44498101499426
2021-03-31,166.9775499874816
2021-04-30,117.42184100513613
2021-05-31,86.59472089550836
2021-06-30,70.22917349282382
2021-07-31,80.0445691195654
2021-08-31,103.99195166571573
2021-09-30,140.6675054451638
2021-10-31,188.8498180779734
2021-11-30,214.84714440662208
2021-12-31,236.81257386487792
2022-01-31,223.83940423093023
2022-02-28,187.50563749931655
2022-03-31,160.30040255107997
2022-04-30,117.21681795440364
2022-05-31,91.31171452964823
2022-06-30,68.16403975960984
2022-07-31,75.24297995942163
2022-08-31,104.93876539650331
2022-09-30,141.55808877570377
2022-10-31,186.25029827568508
2022-11-30,209.44519108198412
2022-12-31,230.7276314359599
2023-01-31,227.3254346582891
2023-02-28,179.2717594574954
2023-03-31,158.18150931403025
2023-04-30,118.8934784942165
2023-05-31,87.07310177029407
2023-06-30,71.99876570043195
2023-07-31,79.51569650546791
2023-08-31,103.24781586231951
2023-09-30,134.27558110337878
2023-10-31,181.5013111381902
2023-11-30,197.143199346315
2023-12-31,237.19672988857454
2024-01-31,229.78756272746773
2024-02-29,181.5644232459156
2024-03-31,157.26273544194106
2024-04-30,113.06942407866681
2024-05-31,85.70494327463388
2024-06-30,66.86883531483112
2024-07-31,84.00797735469524
2024-08-31,105.68053947867278
2024-09-30,131.89722946802326
2024-10-31,182.42408195889251
2024-11-30,203.126816609025
2024-12-31,242.05908149895822
2025-01-31,225.76052299369778
2025-02-28,176.3971572782398
2025-03-31,162.72261232319335
2025-04-30,117.12560532697228
2025-05-31,86.52787760307862
2025-06-30,71.55287241824463
2025-07-31,80.56513994770881
2025-08-31,103.9318056039379
2025-09-30,137.05954173098075
2025-10-31,186.34691890815444
2025-11-30,217.78878181172678
2025-12-31,234.73607977812205
