date,solar_germany
2018-01-31,20.905303067604795
2018-02-28,49.47721580618167
2018-03-31,76.32252015622433
2018-04-30,133.15356417087696
2018-05-31,181.21855666095803
2018-06-30,162.84371236600924
2018-07-31,190.38156715257247
2018-08-31,145.6369281528715
2018-09-30,106.23872016291227
2018-10-31,66.79109752721585
2018-11-30,29.078031681531222
2018-12-31,16.364305645069503
2019-01-31,22.70170799081831
2019-02-28,51.828837730049685
2019-03-31,77.5808948304329
2019-04-30,135.55658553141393
2019-05-31,147.95142922399302
2019-06-30,189.27875387796144
2019-07-31,164.46504185022914
2019-08-31,141.53068123287235
2019-09-30,97.27256018883172
2019-10-31,55.4541728362675
2019-11-30,24.612647171985284
2019-12-31,20.339822566747785
2020-01-31,24.07125127989302
2020-02-29,39.21954431590435
2020-03-31,95.818405956216
2020-04-30,157.63459551518147
2020-05-31,171.12452849474906
2020-06-30,158.96347644912083
2020-07-31,163.98294808387752
2020-08-31,140.55190996411207
2020-09-30,106.17489522154786
2020-10-31,48.681961479251484
2020-11-30,31.311415601927994
2020-12-31,16.928709309495495
2021-01-31,22.14970470968701
2021-02-28,46.834228433436145
2021-03-31,88.27674934053056
2021-04-30,126.92009867369075
2021-05-31,142.32103736407154
2021-06-30,170.78416806393054
2021-07-31,149.00925339786897
2021-08-31,123.50479718883373
2021-09-30,100.66909060578543
2021-10-31,61.286951247928315
2021-11-30,24.660576829808093
2021-12-31,17.81178933585875
2022-01-31,22.42746392042477
2022-02-28,42.979929066169504
2022-03-31,106.60668741426119
2022-04-30,126.47630250861408
2022-05-31,169.43889011661471
2022-06-30,182.15238132581766
2022-07-31,176.48956399624157
2022-08-31,154.72268375606177
2022-09-30,95.92793059552665
2022-10-31,65.83466810371333
2022-11-30,31.096975097091743
2022-12-31,18.14703067188497
2023-01-31,21.035445997298567
2023-02-28,44.172936830868885
2023-03-31,75.19583290648943
2023-04-30,114.32812261035399
2023-05-31,166.77507025688254
2023-06-30,187.411091455923
2023-07-31,159.2124085872009
2023-08-31,131.41969509453256
2023-09-30,117.31252248480773
2023-10-31,56.079288241538464
2023-11-30,25.437314274264665
2023-12-31,16.803957943621604
2024-01-31,26.068911339645943
2024-02-29,38.41911910330068
2024-03-31,77.90706488498304
2024-04-30,112.5961757433158
2024-05-31,154.16367831624768
2024-06-30,157.74229567656565
2024-07-31,164.62392821790428
2024-08-31,151.6264795465054
2024-09-30,98.79961508146941
2024-10-31,55.354414378519294
2024-11-30,25.00799775872181
2024-12-31,18.09068700145555
2025-01-31,25.178421833270633
2025-02-28,43.790768663872
2025-03-31,99.80296492029878
2025-04-30,139.0922212667292
2025-05-31,173.50997375763995
2025-06-30,177.30371935710383
2025-07-31,148.74753329511708
2025-08-31,151.50327623135982
2025-09-30,95.16495404875114
2025-10-31,52.20299109312998
2025-11-30,29.24894418976237
2025-12-31,23.002493067257944
