date;temp_ghana
1/31/2018;25.98646613
2/28/2018;28.92199438
3/31/2018;28.69023571
4/30/2018;28.5987029
5/31/2018;27.50967675
6/30/2018;26.29260122
7/31/2018;25.16520582
8/31/2018;25.05030262
9/30/2018;25.24688372
10/31/2018;26.30333416
11/30/2018;26.71922817
12/31/2018;25.28142261
1/31/2019;26.66819094
2/28/2019;28.33621305
3/31/2019;29.49302792
4/30/2019;29.14872682
5/31/2019;27.53987458
6/30/2019;26.45066866
7/31/2019;25.66455219
8/31/2019;25.31405522
9/30/2019;25.80769034
10/31/2019;25.55519539
11/30/2019;26.92332233
12/31/2019;25.54304044
1/31/2020;25.20296838
2/29/2020;27.28194332
3/31/2020;29.11605565
4/30/2020;28.45901322
5/31/2020;27.90132562
6/30/2020;26.26324134
7/31/2020;25.11470891
8/31/2020;25.05063678
9/30/2020;25.53108011
10/31/2020;25.96011036
11/30/2020;26.11338184
12/31/2020;26.59648755
1/31/2021;26.80084066
2/28/2021;28.12112263
3/31/2021;28.34651987
4/30/2021;28.83714827
5/31/2021;28.10600482
6/30/2021;26.78894547
7/31/2021;25.47840459
8/31/2021;25.30776615
9/30/2021;25.59456242
10/31/2021;26.39229688
11/30/2021;26.59464185
12/31/2021;25.84092698
1/31/2022;25.43268945
2/28/2022;27.84320459
3/31/2022;28.95661451
4/30/2022;27.88061128
5/31/2022;26.97440313
6/30/2022;25.94680174
7/31/2022;25.21885707
8/31/2022;24.81888886
9/30/2022;25.06473922
10/31/2022;25.98377966
11/30/2022;25.6691598
12/31/2022;24.481886
1/31/2023;25.45335779
2/28/2023;27.87702066
3/31/2023;28.52126632
4/30/2023;28.25735184
5/31/2023;27.99695457
6/30/2023;26.28311732
7/31/2023;25.97652175
8/31/2023;25.66295602
9/30/2023;26.07005737
10/31/2023;26.54262835
11/30/2023;26.95936559
12/31/2023;25.32204077
1/31/2024;26.45411427
2/29/2024;28.28840809
3/31/2024;30.09315584
4/30/2024;29.84439199
5/31/2024;29.13336792
6/30/2024;27.19802934
7/31/2024;26.17822837
8/31/2024;26.13077815
9/30/2024;26.27467613
10/31/2024;26.44138863
11/30/2024;25.62097579
12/31/2024;24.9789781
1/31/2025;26.68362504
2/28/2025;28.51347963
3/31/2025;29.6486386
4/30/2025;29.79940858
5/31/2025;28.13430234
6/30/2025;26.92283034
7/31/2025;25.57455905
8/31/2025;25.68053297
9/30/2025;26.07710062
10/31/2025;26.4142821
11/30/2025;27.05663959
12/31/2025;27.03018258
