date;temp_uganda
1/31/2018;25.02886485
2/28/2018;26.623125
3/31/2018;23.67101591
4/30/2018;22.39136678
5/31/2018;22.17813983
6/30/2018;21.84481398
7/31/2018;22.11863936
8/31/2018;23.04699147
9/30/2018;24.1588479
10/31/2018;23.26091644
11/30/2018;23.78859905
12/31/2018;24.23865203
1/31/2019;25.83588519
2/28/2019;26.78439606
3/31/2019;26.9168596
4/30/2019;25.42388368
5/31/2019;23.54904172
6/30/2019;22.27875993
7/31/2019;22.24783439
8/31/2019;22.62445536
9/30/2019;23.24227098
10/31/2019;22.26762499
11/30/2019;22.47706793
12/31/2019;22.51611589
1/31/2020;23.75746567
2/29/2020;24.9680889
3/31/2020;23.96075555
4/30/2020;23.36831613
5/31/2020;22.38006544
6/30/2020;21.60715229
7/31/2020;20.99578417
8/31/2020;22.15141779
9/30/2020;22.7648401
10/31/2020;22.39122795
11/30/2020;22.60722378
12/31/2020;23.10697262
1/31/2021;22.98642033
2/28/2021;24.26750238
3/31/2021;25.333478
4/30/2021;23.54800217
5/31/2021;22.80146093
6/30/2021;22.92836408
7/31/2021;22.51413826
8/31/2021;23.91255195
9/30/2021;23.50051332
10/31/2021;24.2959508
11/30/2021;24.23774778
12/31/2021;24.37229054
1/31/2022;24.69931607
2/28/2022;25.44583839
3/31/2022;26.37745971
4/30/2022;24.66797034
5/31/2022;23.67701869
6/30/2022;22.82723221
7/31/2022;22.91993862
8/31/2022;22.34530826
9/30/2022;22.89424923
10/31/2022;23.3575631
11/30/2022;23.13598397
12/31/2022;23.73828593
1/31/2023;25.02568576
2/28/2023;26.71655815
3/31/2023;24.32850401
4/30/2023;23.40720136
5/31/2023;23.58495118
6/30/2023;23.24198207
7/31/2023;23.0839964
8/31/2023;24.47249866
9/30/2023;24.17888766
10/31/2023;23.91093218
11/30/2023;23.12255277
12/31/2023;24.32597305
1/31/2024;24.70317101
2/29/2024;25.87017198
3/31/2024;26.30091865
4/30/2024;24.20113844
5/31/2024;24.42781008
6/30/2024;23.25315042
7/31/2024;23.03438091
8/31/2024;23.33605655
9/30/2024;23.93941132
10/31/2024;23.63868481
11/30/2024;22.91424369
12/31/2024;23.89160883
1/31/2025;25.17336995
2/28/2025;26.88251322
3/31/2025;25.88600252
4/30/2025;24.36076884
5/31/2025;23.35490586
6/30/2025;23.56537515
7/31/2025;23.27524831
8/31/2025;22.98081144
9/30/2025;24.72516104
10/31/2025;24.00264371
11/30/2025;24.42202681
12/31/2025;25.20779074
